full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,71180,71180,5634,131,131,8,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,54097,54097,6696,110,110,13,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,19096,19096,3891,78,78,3,https://github.com/shareAI-lab/learn-claude-code
musistudio/claude-code-router,28561,28561,2203,11,11,0,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,21447,21447,2013,10,10,3,https://github.com/davila7/claude-code-templates
hesreallyhim/awesome-claude-code,25413,25413,1561,33,33,7,https://github.com/hesreallyhim/awesome-claude-code
anthropics/claude-code-action,5899,5899,1473,5,5,0,https://github.com/anthropics/claude-code-action
VoltAgent/awesome-claude-code-subagents,11701,11701,1243,25,25,7,https://github.com/VoltAgent/awesome-claude-code-subagents
diet103/claude-code-infrastructure-showcase,9081,9081,1176,1,1,0,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,7342,7342,514,6,6,1,https://github.com/frankbria/ralph-claude-code
Piebald-AI/claude-code-system-prompts,5020,5020,719,2,2,1,https://github.com/Piebald-AI/claude-code-system-prompts
ChrisWiles/claude-code-showcase,5396,5396,457,0,0,0,https://github.com/ChrisWiles/claude-code-showcase
OneRedOak/claude-code-workflows,3663,3663,541,0,0,0,https://github.com/OneRedOak/claude-code-workflows
shanraisshan/claude-code-best-practice,5675,5675,503,122,122,14,https://github.com/shanraisshan/claude-code-best-practice
1rgs/claude-code-proxy,3107,3107,413,0,0,0,https://github.com/1rgs/claude-code-proxy
disler/claude-code-hooks-mastery,3166,3166,570,5,5,0,https://github.com/disler/claude-code-hooks-mastery
kodu-ai/claude-coder,5290,5290,200,0,0,0,https://github.com/kodu-ai/claude-coder
zebbern/claude-code-guide,3481,3481,325,2,2,0,https://github.com/zebbern/claude-code-guide
Yuyz0112/claude-code-reverse,2122,2122,363,0,0,0,https://github.com/Yuyz0112/claude-code-reverse
Maciek-roboblog/Claude-Code-Usage-Monitor,6704,6704,328,4,4,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
anthropics/skills,78527,78527,8189,165,165,19,https://github.com/anthropics/skills
fuergaosi233/claude-code-proxy,2070,2070,293,0,0,0,https://github.com/fuergaosi233/claude-code-proxy
ykdojo/claude-code-tips,3232,3232,230,7,7,0,https://github.com/ykdojo/claude-code-tips
Cranot/claude-code-guide,2414,2414,256,1,1,0,https://github.com/Cranot/claude-code-guide
anthropics/claude-code-base-action,589,589,591,0,0,0,https://github.com/anthropics/claude-code-base-action
anthropics/claude-code-security-review,3412,3412,267,7,7,0,https://github.com/anthropics/claude-code-security-review
Pimzino/claude-code-spec-workflow,3459,3459,247,2,2,0,https://github.com/Pimzino/claude-code-spec-workflow
wshobson/agents,29589,29589,3235,35,35,4,https://github.com/wshobson/agents
router-for-me/CLIProxyAPI,12049,12049,1921,26,26,7,https://github.com/router-for-me/CLIProxyAPI
https-deeplearning-ai/sc-claude-code-files,427,427,585,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
pedrohcgs/claude-code-my-workflow,460,460,595,4,4,6,https://github.com/pedrohcgs/claude-code-my-workflow
siteboon/claudecodeui,7308,7308,921,26,26,0,https://github.com/siteboon/claudecodeui
eyaltoledano/claude-task-master,25682,25682,2439,4,4,0,https://github.com/eyaltoledano/claude-task-master
edmund-io/edmunds-claude-code,1239,1239,256,0,0,0,https://github.com/edmund-io/edmunds-claude-code
qwibitai/nanoclaw,15968,15968,2512,99,99,26,https://github.com/qwibitai/nanoclaw
RichardAtCT/claude-code-telegram,1756,1756,209,4,4,1,https://github.com/RichardAtCT/claude-code-telegram
snarktank/ralph,11542,11542,1259,29,29,4,https://github.com/snarktank/ralph
ding113/claude-code-hub,1517,1517,188,1,1,0,https://github.com/ding113/claude-code-hub
feiskyer/claude-code-settings,1240,1240,186,0,0,0,https://github.com/feiskyer/claude-code-settings
EveryInc/compound-engineering-plugin,9659,9659,765,13,13,1,https://github.com/EveryInc/compound-engineering-plugin
github/spec-kit,72641,72641,6237,59,59,7,https://github.com/github/spec-kit
sugyan/claude-code-webui,935,935,212,0,0,0,https://github.com/sugyan/claude-code-webui
lst97/claude-code-sub-agents,1433,1433,230,0,0,1,https://github.com/lst97/claude-code-sub-agents
carlvellotti/claude-code-pm-course,1497,1497,221,5,5,3,https://github.com/carlvellotti/claude-code-pm-course
ghuntley/claude-code-source-code-deobfuscation,843,843,413,0,0,1,https://github.com/ghuntley/claude-code-source-code-deobfuscation
nishimoto265/Claude-Code-Communication,492,492,239,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
