full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,73384,73384,5833,112,112,20,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,59427,59427,7360,377,377,45,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,21001,21001,4135,128,128,18,https://github.com/shareAI-lab/learn-claude-code
musistudio/claude-code-router,28875,28875,2217,20,20,0,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,21993,21993,2081,22,22,4,https://github.com/davila7/claude-code-templates
hesreallyhim/awesome-claude-code,26116,26116,1623,39,39,4,https://github.com/hesreallyhim/awesome-claude-code
anthropics/claude-code-action,5990,5990,1500,1,1,-1,https://github.com/anthropics/claude-code-action
VoltAgent/awesome-claude-code-subagents,12393,12393,1330,26,26,2,https://github.com/VoltAgent/awesome-claude-code-subagents
diet103/claude-code-infrastructure-showcase,9135,9135,1181,5,5,2,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,7477,7477,531,14,14,-1,https://github.com/frankbria/ralph-claude-code
shanraisshan/claude-code-best-practice,7794,7794,708,254,254,29,https://github.com/shanraisshan/claude-code-best-practice
Piebald-AI/claude-code-system-prompts,5272,5272,750,10,10,0,https://github.com/Piebald-AI/claude-code-system-prompts
ChrisWiles/claude-code-showcase,5432,5432,465,1,1,0,https://github.com/ChrisWiles/claude-code-showcase
OneRedOak/claude-code-workflows,3683,3683,545,1,1,0,https://github.com/OneRedOak/claude-code-workflows
1rgs/claude-code-proxy,3126,3126,417,1,1,0,https://github.com/1rgs/claude-code-proxy
disler/claude-code-hooks-mastery,3213,3213,571,2,2,0,https://github.com/disler/claude-code-hooks-mastery
kodu-ai/claude-coder,5291,5291,199,0,0,-1,https://github.com/kodu-ai/claude-coder
zebbern/claude-code-guide,3506,3506,326,1,1,0,https://github.com/zebbern/claude-code-guide
Yuyz0112/claude-code-reverse,2138,2138,365,-1,-1,0,https://github.com/Yuyz0112/claude-code-reverse
Maciek-roboblog/Claude-Code-Usage-Monitor,6775,6775,330,5,5,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
anthropics/skills,82924,82924,8721,262,262,33,https://github.com/anthropics/skills
ykdojo/claude-code-tips,4037,4037,284,20,20,1,https://github.com/ykdojo/claude-code-tips
fuergaosi233/claude-code-proxy,2087,2087,294,0,0,0,https://github.com/fuergaosi233/claude-code-proxy
pedrohcgs/claude-code-my-workflow,517,517,761,2,2,5,https://github.com/pedrohcgs/claude-code-my-workflow
Cranot/claude-code-guide,2429,2429,257,3,3,0,https://github.com/Cranot/claude-code-guide
anthropics/claude-code-base-action,592,592,589,0,0,0,https://github.com/anthropics/claude-code-base-action
anthropics/claude-code-security-review,3542,3542,281,5,5,-1,https://github.com/anthropics/claude-code-security-review
Pimzino/claude-code-spec-workflow,3475,3475,249,0,0,0,https://github.com/Pimzino/claude-code-spec-workflow
router-for-me/CLIProxyAPI,13053,13053,2110,72,72,10,https://github.com/router-for-me/CLIProxyAPI
https-deeplearning-ai/sc-claude-code-files,439,439,595,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
wshobson/agents,30132,30132,3302,24,24,2,https://github.com/wshobson/agents
eyaltoledano/claude-task-master,25758,25758,2441,4,4,-1,https://github.com/eyaltoledano/claude-task-master
qwibitai/nanoclaw,18319,18319,2942,170,170,27,https://github.com/qwibitai/nanoclaw
edmund-io/edmunds-claude-code,1253,1253,260,2,2,0,https://github.com/edmund-io/edmunds-claude-code
RichardAtCT/claude-code-telegram,1881,1881,220,6,6,2,https://github.com/RichardAtCT/claude-code-telegram
ding113/claude-code-hub,1591,1591,198,7,7,1,https://github.com/ding113/claude-code-hub
snarktank/ralph,11927,11927,1297,22,22,1,https://github.com/snarktank/ralph
siteboon/claudecodeui,7605,7605,970,4,4,0,https://github.com/siteboon/claudecodeui
EveryInc/compound-engineering-plugin,9825,9825,779,15,15,0,https://github.com/EveryInc/compound-engineering-plugin
feiskyer/claude-code-settings,1249,1249,186,0,0,0,https://github.com/feiskyer/claude-code-settings
lst97/claude-code-sub-agents,1437,1437,232,-1,-1,0,https://github.com/lst97/claude-code-sub-agents
carlvellotti/claude-code-pm-course,1541,1541,226,5,5,-1,https://github.com/carlvellotti/claude-code-pm-course
sugyan/claude-code-webui,941,941,211,0,0,0,https://github.com/sugyan/claude-code-webui
github/spec-kit,73790,73790,6318,96,96,10,https://github.com/github/spec-kit
ghuntley/claude-code-source-code-deobfuscation,850,850,414,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
nishimoto265/Claude-Code-Communication,492,492,238,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
sickn33/antigravity-awesome-skills,18824,18824,3360,185,185,19,https://github.com/sickn33/antigravity-awesome-skills
centminmod/my-claude-code-setup,1931,1931,180,0,0,0,https://github.com/centminmod/my-claude-code-setup
darcyegb/ClaudeCodeAgents,574,574,51,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
slopus/happy,14148,14148,1099,30,30,3,https://github.com/slopus/happy
rizethereum/claude-code-requirements-builder,1748,1748,171,0,0,0,https://github.com/rizethereum/claude-code-requirements-builder
andrepimenta/claude-code-chat,994,994,152,0,0,0,https://github.com/andrepimenta/claude-code-chat
bfly123/claude_code_bridge,1395,1395,132,8,8,2,https://github.com/bfly123/claude_code_bridge
disler/claude-code-hooks-multi-agent-observability,1230,1230,348,2,2,0,https://github.com/disler/claude-code-hooks-multi-agent-observability
Njengah/claude-code-cheat-sheet,1383,1383,174,1,1,0,https://github.com/Njengah/claude-code-cheat-sheet
steipete/claude-code-mcp,1148,1148,139,0,0,0,https://github.com/steipete/claude-code-mcp
obra/superpowers,69769,69769,5358,393,393,28,https://github.com/obra/superpowers
zhukunpenglinyutong/idea-claude-code-gui,1459,1459,160,5,5,1,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
catlog22/Claude-Code-Workflow,1406,1406,114,13,13,0,https://github.com/catlog22/Claude-Code-Workflow
JessyTsui/Claude-Code-Remote,1127,1127,121,2,2,0,https://github.com/JessyTsui/Claude-Code-Remote
trailofbits/claude-code-config,1468,1468,110,4,4,0,https://github.com/trailofbits/claude-code-config
peterkrueck/Claude-Code-Development-Kit,1315,1315,149,0,0,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
anthropics/claude-plugins-official,8909,8909,874,36,36,2,https://github.com/anthropics/claude-plugins-official
winfunc/opcode,20775,20775,1599,2,2,-1,https://github.com/winfunc/opcode
pchalasani/claude-code-tools,1517,1517,99,0,0,0,https://github.com/pchalasani/claude-code-tools
farion1231/cc-switch,23348,23348,1442,158,158,7,https://github.com/farion1231/cc-switch
simonw/claude-code-transcripts,1081,1081,122,0,0,0,https://github.com/simonw/claude-code-transcripts
jarrodwatts/claude-code-config,955,955,120,0,0,0,https://github.com/jarrodwatts/claude-code-config
0xfurai/claude-code-subagents,741,741,139,0,0,0,https://github.com/0xfurai/claude-code-subagents
jeremylongshore/claude-code-plugins-plus-skills,1497,1497,180,4,4,0,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
EnzeD/vibe-coding,3998,3998,1338,2,2,0,https://github.com/EnzeD/vibe-coding
wasabeef/claude-code-cookbook,1021,1021,111,0,0,0,https://github.com/wasabeef/claude-code-cookbook
cixingguangming55555/wechat-bot,2533,2533,668,1,1,0,https://github.com/cixingguangming55555/wechat-bot
alirezarezvani/claude-code-tresor,568,568,135,1,1,0,https://github.com/alirezarezvani/claude-code-tresor
alirezarezvani/claude-skills,2326,2326,305,16,16,1,https://github.com/alirezarezvani/claude-skills
ComposioHQ/awesome-claude-skills,40343,40343,3997,191,191,21,https://github.com/ComposioHQ/awesome-claude-skills
revfactory/claude-code-mastering,759,759,122,0,0,0,https://github.com/revfactory/claude-code-mastering
anthropics/claude-agent-sdk-demos,1584,1584,247,2,2,0,https://github.com/anthropics/claude-agent-sdk-demos
d-kimuson/claude-code-viewer,938,938,104,2,2,0,https://github.com/d-kimuson/claude-code-viewer
anthropics/claude-agent-sdk-python,5142,5142,679,6,6,0,https://github.com/anthropics/claude-agent-sdk-python
numman-ali/openskills,8720,8720,560,8,8,-1,https://github.com/numman-ali/openskills
browser-use/browser-use,79521,79521,9403,31,31,5,https://github.com/browser-use/browser-use
ericbuess/claude-code-docs,712,712,101,0,0,0,https://github.com/ericbuess/claude-code-docs
Alishahryar1/free-claude-code,775,775,94,2,2,0,https://github.com/Alishahryar1/free-claude-code
code-yeongyu/oh-my-opencode,36659,36659,2767,74,74,6,https://github.com/code-yeongyu/oh-my-opencode
anomalyco/opencode,115374,115374,11697,193,193,31,https://github.com/anomalyco/opencode
opactorai/Claudable,3765,3765,563,0,0,0,https://github.com/opactorai/Claudable
zarazhangrui/frontend-slides,7779,7779,538,54,54,4,https://github.com/zarazhangrui/frontend-slides
MadAppGang/claude-code,241,241,25,0,0,0,https://github.com/MadAppGang/claude-code
kn1026/cc,703,703,270,0,0,0,https://github.com/kn1026/cc
superdesigndev/superdesign,6058,6058,686,2,2,1,https://github.com/superdesigndev/superdesign
severity1/claude-code-prompt-improver,1168,1168,99,0,0,0,https://github.com/severity1/claude-code-prompt-improver
OthmanAdi/planning-with-files,15171,15171,1398,37,37,2,https://github.com/OthmanAdi/planning-with-files
Yeachan-Heo/oh-my-claudecode,8201,8201,569,43,43,4,https://github.com/Yeachan-Heo/oh-my-claudecode
lyconear/Claude-Code,4,4,147,0,0,0,https://github.com/lyconear/Claude-Code
greggh/claude-code.nvim,1883,1883,60,1,1,0,https://github.com/greggh/claude-code.nvim
daymade/claude-code-skills,620,620,89,1,1,0,https://github.com/daymade/claude-code-skills
PleasePrompto/notebooklm-skill,4060,4060,397,9,9,2,https://github.com/PleasePrompto/notebooklm-skill
BloopAI/vibe-kanban,22306,22306,2160,21,21,3,https://github.com/BloopAI/vibe-kanban
laravel/claude-code,510,510,16,0,0,0,https://github.com/laravel/claude-code
